"title","url"
"Business  THG shares rise after SoftBank sells stake to Moulding and Qatar ","https://www.theguardian.com/business/2022/oct/18/thg-shares-rise-softbank-sells-stake-moulding-qatar"
"Seen and heard  Noise cameras to be trialled in England to tackle ‘boy racers’ ","https://www.theguardian.com/politics/2022/oct/18/noise-cameras-boy-racers-trial-road-users-legal-limits"
"Chad  Unity ‘the only way forward’ says PM as anti-junta anger rises ","https://www.theguardian.com/world/2022/oct/18/new-chad-pm-saleh-kebzabo-unity"
"Taiwan  China’s takeover plans moving ‘much faster’ under Xi, says Blinken ","https://www.theguardian.com/world/2022/oct/18/chinas-plans-to-annex-taiwan-moving-much-faster-under-xi-says-blinken"
"Afghanistan  Gay student murdered by Taliban as violence against LGBTQ+ community rises ","https://www.theguardian.com/global-development/2022/oct/18/gay-afghan-student-murdered-by-taliban-as-violence-against-lgbtq-community-rises"
"Whaling  Countries push to undermine ban on commercial whaling ","https://www.theguardian.com/environment/2022/oct/18/international-whaling-commission-iwc-ban-resolutions-meeting-slovenia"
"Loo rolled  Japan’s oldest toilet damaged as driver backed up  ","https://www.theguardian.com/world/2022/oct/18/japans-oldest-toilet-damaged-as-driver-backed-up"
"US  More than 80% of US waterways contaminated by ‘forever chemicals’ ","https://www.theguardian.com/environment/2022/oct/18/pfas-forever-chemicals-80-percent-us-waterways-contaminated"
"Global development  UN warns against alarmism as world’s population reaches 8bn milestone ","https://www.theguardian.com/global-development/2022/oct/18/global-population-growth-8-billion-unfdp-united-nations-warning-alarmism"
"Hair  Straightening products may raise uterine cancer risk, says US study ","https://www.theguardian.com/us-news/2022/oct/17/hair-straightening-products-may-increase-risk-of-uterine-cancer"
"'Violent event'  Four missing Oklahoma men found dismembered in river, police say  ","https://www.theguardian.com/us-news/2022/oct/17/dismembered-bodies-oklahoma-river-four-missing-men"
"Economy  China delays key data amid Communist party congress ","https://www.theguardian.com/world/2022/oct/18/china-delays-key-economic-data-releases-amid-communist-party-congress"
"  
            
             Podcast
             
             
             Who’s running Britain? 
              ","https://www.theguardian.com/news/audio/2022/oct/18/whos-running-britain-podcast"
"   Listen to previous episodes   ","https://www.theguardian.com/news/series/todayinfocus"
"Iran  What the latest footage tells us about the regime ","https://www.theguardian.com/world/video/2022/oct/12/iran-protests-regime-explainer-video"
"Vladimir Putin  Why is he so obsessed with Ukraine? ","https://www.theguardian.com/world/video/2022/sep/14/why-is-vladimir-putin-so-obsessed-with-ukraine"
"'Enough is enough'  Cost of living and climate campaigners promise 'autumn of anger'  ","https://www.theguardian.com/global/video/2022/oct/06/heating-and-eating-can-cost-of-living-and-climate-protesters-join-forces-video"
"Australia  Why Julia Gillard's misogyny speech still resonates a decade later  ","https://www.theguardian.com/australia-news/video/2022/oct/07/why-julia-gillards-misogyny-speech-still-resonates-a-decade-later-video"
"Galloping horses, spears and adrenaline  In tent pegging 'anything can happen' ","https://www.theguardian.com/uk-news/video/2022/oct/04/galloping-horses-spears-and-adrenaline-in-tent-pegging-anything-can-happen-video"
"Putin's Russia  Dictator syndrome and the rise of a 'mafia state' ","https://www.theguardian.com/world/video/2022/jun/20/putins-russia-dictator-syndrome-and-the-rise-of-a-mafia-state-video"
"Pavement review  90s indie giants defy slacker reputation with high energy and deep cuts ","https://www.theguardian.com/music/2022/oct/18/pavement-review-90s-indie-giants-defy-slacker-reputation-with-high-energy-and-deep-cuts"
"Batgirl axed, The Flash floundering  Can Black Adam turn things round for DC’s troubled superheroes? ","https://www.theguardian.com/film/2022/oct/18/batgirl-axed-the-flash-black-adam-turn-things-round-for-dc-warner-bros-superheroes"
"McCurry: The Pursuit of Colour review  Intimate look at man behind Afghan Girl ","https://www.theguardian.com/film/2022/oct/18/mccurry-the-pursuit-of-colour-review-intimate-look-at-man-behind-afghan-girl"
"Local Hero review  Musical misses the magic of Bill Forsyth’s classic ","https://www.theguardian.com/stage/2022/oct/18/local-hero-review-minerva-theatre-chichester"
